transaction_key,item,transaction_type,quantity,transaction_date,unit,assigned_to,serial_numbers,description,remark,source_ref
STK-384A2BA455,XPrinter XP-K300L,IN,1,25/03/2024,pcs,,XPK300L-BM2105270026,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=274
STK-953C2C4A91,Usb to Lan - Ugreen,IN,1,25/03/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=275
STK-39DCC47528,Cash Drawer-Maxcode,IN,1,25/03/2024,pcs,,M3302021060049,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=276
STK-339FC01939,Maken MK410,OUT,1,25/03/2024,pcs,VN15,MK410221102420,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=277
STK-90EBEEEF72,D-Link DES-1016D,OUT,1,25/03/2024,pcs,VN15,F30637A004130,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=278
STK-E24A1FBAE1,Pole Display LD220-HP,OUT,1,25/03/2024,pcs,VN15,2TD843AAAT,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=279
STK-3DD6283731,Hub Usb Unitek - 4 Port,OUT,1,25/03/2024,pcs,VN15,,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=280
STK-29C304AB64,Datalogic QW2100,OUT,1,25/03/2024,pcs,VN15,G21EB1582,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=281
STK-AB3BB93FEF,Epson TM-82III,OUT,1,25/03/2024,pcs,VN15,X7B9022730,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=282
STK-D160AA6836,Canon LBP 2900,OUT,1,25/03/2024,pcs,VN15,NMYA744682,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=283
STK-DFB8F2EDE6,Laptop Dell Latitude 3520,IN,1,2024-03-04 00:00:00,pcs,,6R4JGL3,Phong trả máy,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=284
STK-2D9D072B7D,Laptop Dell Latitude 3520,IN,1,2024-08-04 00:00:00,pcs,,6SYF7S3,Trần Thị Toàn Mỹ resigned,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=285
STK-EFB35FD2BF,Brother Label,OUT,1,2024-08-04 00:00:00,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=286
STK-AB225A549B,HP Probook 440 G9,IN,1,2024-08-04 00:00:00,pcs,,5CD236BCT6,ZV10 trả về,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=287
STK-0D4616EE5E,Power socket,IN,1,2024-08-04 00:00:00,pcs,,,"ZV10 trả về, bỏ chung balo với laptop zv10",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=288
STK-698FDBE584,Datalogic QW2100,IN,1,2024-08-04 00:00:00,pcs,,,"ZV10 trả về, bỏ chung balo với laptop zv10",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=289
STK-A1A8EB7FAE,Epson TM-82III,IN,1,2024-08-04 00:00:00,pcs,,X7B9022774,ZV10 trả về,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=290
STK-B81A591B0C,Mouse,IN,1,2024-08-04 00:00:00,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=291
STK-F27C722EC2,Unitek - HDMI to VGA,OUT,1,2024-08-04 00:00:00,pcs,Sơn PD,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=292
STK-BA4EE8810D,Maken MK410,IN,1,2024-10-04 00:00:00,pcs,,MK410211201036,VI06 đóng store,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=293
STK-272D7B867C,Epson TM-82III,IN,1,2024-10-04 00:00:00,pcs,,X7BA007402,VI06 đóng store,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=294
STK-ED71DD9FC2,Mouse,IN,1,2024-10-04 00:00:00,pcs,,,VI06 đóng store,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=295
STK-0A21A194EE,Datalogic QW2100,IN,1,2024-10-04 00:00:00,pcs,,G22EB4216,VI06 đóng store,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=296
STK-5541DACFEE,Pole Display VFD,IN,1,2024-10-04 00:00:00,pcs,,,VI06 đóng store,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=297
STK-E909F872F7,HP Probook 440 G9,IN,1,2024-10-04 00:00:00,pcs,,5CD2409YYT,VI06 đóng store,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=298
STK-382E8BAEAA,Usb to Lan - Orico,IN,1,2024-10-04 00:00:00,pcs,,,VI06 đóng store,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=299
STK-D1B8D49B14,Keyboard,OUT,1,2024-10-04 00:00:00,pcs,Linh MD,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=300
STK-7B64145F59,Laptop Dell Latitude 5430,IN,1,19/04/2024,pcs,,5CD73626Y5,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=301
STK-759510D2B4,Laptop Dell Latitude 3520,IN,1,19/04/2024,pcs,,B65JGL3,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=302
STK-3C3C8742C3,Maken MK410,IN,1,24/04/2024,pcs,,MK410221102420,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=303
STK-4A44EAF14C,D-Link DES-1016D,IN,1,24/04/2024,pcs,,F30637A004130,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=304
STK-C8AD75F515,Pole Display LD220-HP,IN,1,24/04/2024,pcs,,2TD843AAAT,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=305
STK-11D800CA52,Hub Usb Unitek - 4 Port,IN,1,24/04/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=306
STK-FE6E1758A5,Datalogic QW2100,IN,1,24/04/2024,pcs,,G21EB1582,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=307
STK-1CE128BEBD,Epson TM-82III,IN,1,24/04/2024,pcs,,X7B9022730,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=308
STK-C9E293482C,Canon LBP 2900,IN,1,24/04/2024,pcs,,NMYA744682,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=309
STK-5E6586C8FE,Modem 4G TP-Link M7350,IN,1,24/04/2024,pcs,,2223200001560,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=310
STK-92BBAC85F9,Laptop Dell Latitude 3520,OUT,1,29/02/2024,pcs,ZV13,6XSSKS3,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=311
STK-EB169B4B0F,Maken MK410,OUT,1,24/04/2024,pcs,ZV13,MK410221102420,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=312
STK-38DD01CF7B,Datalogic QW2100,OUT,1,24/04/2024,pcs,ZV13,G21EB1582,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=313
STK-6DB517E512,Hub Usb Unitek - 4 Port,OUT,1,24/04/2024,pcs,ZV13,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=314
STK-A84AA31DCA,Epson TM-82III,OUT,1,24/04/2024,pcs,ZV13,X7B9022730,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=315
STK-CF5093078C,Modem 4G TP-Link M7350,OUT,1,24/04/2024,pcs,ZV13,2223200001560,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=316
STK-8186E05626,Mouse,OUT,1,24/04/2024,pcs,ZV13,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=317
STK-1A3C08AF55,Unitek - HDMI to VGA,OUT,1,2024-02-05 00:00:00,pcs,Minh ecom,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=318
STK-CB79F8E6A8,Aoc E960S,IN,1,2024-02-05 00:00:00,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=319
STK-707473CFE8,Ram 4Gb,OUT,1,2024-02-05 00:00:00,pcs,Thanh MD,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=320
STK-42A585D194,Nec Model NP210,IN,1,2024-02-05 00:00:00,pcs,,,Old projector,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=321
STK-AC808F861C,HP 194V,IN,1,2024-12-03 00:00:00,pcs,Huan,3CQ7490XG4,IT-Backup,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=322
STK-09A32DA1BC,Laptop Dell Latitude 3520,IN,1,2024-10-05 00:00:00,pcs,,71GCGG3,Nguyễn Hoàng Loan resigned,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=323
STK-56F3BDFF81,Laptop Dell Latitude 3520,IN,1,2024-10-05 00:00:00,pcs,,HGBJGL3,linh.thainhat resigned,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=324
STK-51D6E5B849,Lexar-32Gb,OUT,1,2024-10-05 00:00:00,pcs,,,handover for Ms.Maya,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=325
STK-403342FA1F,SIM 4G Viettel,IN,2,22/05/2024,pcs,,89840480009155545778984048000915554707,"For O2O - NB Nguyễn Trãi (VA11) & NB Vincom Thảo Điền (VA05) 150GB/month (5GB/day), 12 month duration, only for 4G Data",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=326
STK-59CF5471C5,SIM 4G Viettel,OUT,1,23/05/2024,pcs,VA05,8984048000915554577,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=327
STK-D8B4D05D9F,Lenovo tab M8,OUT,1,23/05/2024,pcs,VA05,HA1JZCBD,IMEI: 862854053046774,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=328
STK-AA31A6A880,SIM 4G Viettel,OUT,1,23/05/2024,pcs,VA11,8984048000915554707,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=329
STK-C4EEB268AF,Lenovo tab M8,OUT,1,23/05/2024,pcs,VA11,HA1JZYJG,IMEI: 862854053049877,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=330
STK-64CCE6E5C5,Mercusys,OUT,1,24/05/2024,pcs,VN05,22253D9009592,Send to VN05 for FG SDWAN project,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=331
STK-F6EF33BD4D,D-LINK DIR-619L,OUT,1,2024-10-06 00:00:00,pcs,VN10,RZPK2G2000820,Set up for VN10,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=332
STK-EDA1D40996,Mercusys,OUT,1,2024-10-06 00:00:00,pcs,VN10,,Set up for VN10,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=333
STK-7EE49056EB,Ugreen 4 port,OUT,1,13/06/2024,pcs,VN16,,Setup for VN16,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=334
STK-EAD436C8E9,Laptop Dell Latitude 3520,IN,1,13/06/2024,pcs,,BR9VKG3,Thu hồi từ chị Bình [Đổi máy],,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=335
STK-0D42F20B93,Laptop Dell Latitude 3520,IN,1,13/06/2024,pcs,,5YSSKS3,Thu chị Nhung [Resigned],,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=336
STK-11E6D9DC08,Laptop Dell Latitude 5430,IN,1,13/06/2024,pcs,,B8972T3,Thu chị Tuyết Retail Manager [Resigned],,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=337
STK-F4762D17E0,Postek printer,OUT,2,13/06/2024,pcs,,,"For O2O - NB Nguyễn Trãi (VA11) & NB Vincom Thảo Điền (VA05) 150GB/month (5GB/day), 12 month duration, only for 4G Data",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=338
STK-828F8477E0,HP-Display port to VGA,IN,2,20/06/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=339
STK-D3CB532201,OptiPlex 3090 Micro,IN,1,20/06/2024,pcs,,CHC4LQ3,Intern mkt resigned,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=340
STK-6C8D9C9563,HP 19,IN,1,20/06/2024,pcs,,3CQ1470DS3,Intern mkt resigned,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=341
STK-F0D0F43058,Epson TM-82III,OUT,1,24/06/2024,pcs,VE12,X7B9022774,Swap for VE12,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=342
STK-3C3217B028,SIM 4G Viettel,IN,1,24/06/2024,pcs,,1699950701,Sóng nam giao,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=343
STK-35AE1C066A,Postek printer,IN,1,2024-02-07 00:00:00,pcs,,I1624C0017,Sóng nam giao,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=344
STK-321B8D1A23,Postek printer,IN,1,2024-02-07 00:00:00,pcs,,I1624C0018,Sóng nam giao,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=345
STK-8295A99F09,Postek printer,OUT,2,24/06/2024,pcs,,,Sóng nam giao,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=346
STK-CD45323FD1,Lenovo tab M8,OUT,2,24/06/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=347
STK-F7A19C4F00,Maken MK410,IN,1,25/03/2024,pcs,VN15,MK410221102420,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=348
STK-0C22A2243C,D-Link DES-1016D,IN,1,25/03/2024,pcs,VN15,F30637A004130,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=349
STK-97E0C36375,Pole Display LD220-HP,IN,1,25/03/2024,pcs,VN15,2TD843AAAT,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=350
STK-A7BF498103,Hub Usb Unitek - 4 Port,IN,1,25/03/2024,pcs,VN15,,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=351
STK-224239C798,Datalogic QW2100,IN,1,25/03/2024,pcs,VN15,G21EB1582,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=352
STK-61429A66D4,Epson TM-82III,IN,1,25/03/2024,pcs,VN15,X7B9022730,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=353
STK-D65C525E78,Canon LBP 2900,IN,1,25/03/2024,pcs,VN15,NMYA744682,Preparing for Converse Vincom Thao Dien,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=354
STK-04B9E204CD,Datalogic QW2100,OUT,1,2024-03-07 00:00:00,pcs,,G20L70055,VN03,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=355
STK-D5028BDD6B,Ổ SSD 500 Gb,IN,2,2024-04-07 00:00:00,pcs,,,Sóng Nam giao,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=356
STK-FA5427C38A,Ổ SSD 500 Gb,OUT,2,2024-04-07 00:00:00,pcs,,,Thay cho C.linh và P.Thạnh,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=357
STK-495DF9DE6A,Ổ SSD 256 Gb,IN,2,2024-04-07 00:00:00,pcs,,,Từ lap của C.linh và P.Thạnh,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=358
STK-31D5BB9323,Epson TM-82III,IN,1,24/06/2024,pcs,VE12,X7B9025195,thu hồi từ VE12,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=359
STK-49E0124387,Epson TM-82III,OUT,1,24/06/2024,pcs,VE12,X7B9022774,Chuyển cho VE12,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=360
STK-5EB73666AA,Canon LBP 2900,OUT,1,2024-09-07 00:00:00,pcs,VO02,NMYA783808,CHUYỂN CHO VO02,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=361
STK-EF41EB295C,HP Laserjet pro M15w,OUT,1,2024-09-07 00:00:00,pcs,VC04,VNC3K04070,CHUYỂN CHO VC04,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=362
STK-7CBFF2D80B,EchoLife EG8145V5,IN,1,2024-11-07 00:00:00,pcs,,48575443C27F06A5,VC05 closed,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=363
STK-F0350D52AC,Toto link,IN,1,2024-11-07 00:00:00,pcs,,A3002RU20C900798,VC05 closed,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=364
STK-59483D52E7,XPRINTER,IN,1,2024-11-07 00:00:00,pcs,,XPK300L-BM2105270036,VC05 closed,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=365
STK-2033E45E1F,Scanning gun,IN,1,2024-11-07 00:00:00,pcs,,G21EB1552,VC05 closed,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=366
STK-81632B551F,Mercusys,IN,1,2024-11-07 00:00:00,pcs,,22172W5002275,VC05 closed,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=367
STK-D966FE9C27,Cash drawer of mall,IN,1,2024-11-07 00:00:00,pcs,,M3302021060571,VC05 closed,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=368
STK-1A7E849FA7,hp laser neverstop 1000w,IN,1,2024-11-07 00:00:00,pcs,,CNBRP8339N,VC05 closed,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=369
STK-F207AF9A46,Pole Display VFD,IN,1,2024-11-07 00:00:00,pcs,,AQVFD220V,VC05 closed,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=370
STK-4BC55EDDF8,Laptop Dell Latitude 3520,OUT,1,15/07/2024,pcs,,BR9VKG3,Cấp tạm Lan Vy,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=371
STK-5EA80E4E31,Epson TM-82III,OUT,1,25/06/2024,pcs,ZV10,X7BA014971,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=372
STK-EFB6EF768E,Datalogic QW2100,OUT,1,25/06/2024,pcs,ZV10,G22EB04216,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=373
STK-DCA635D408,PROBOOK 440 G9,OUT,1,25/06/2024,pcs,ZV10,5CD236BCT6,"CORE I5-1235U, RAM : 16GB, SSD: 512 GB",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=374
STK-977B00172F,TP-Link MR6400,OUT,1,25/06/2024,pcs,ZV10,2234111003742,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=375
STK-D5791919B6,Adapter HP 65W,OUT,1,25/06/2024,pcs,ZV10,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=376
STK-FAB7C762C7,VIETTEL 4G Sim,OUT,1,25/06/2024,pcs,ZV10,1699950701,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=377
STK-DEC42FC577,Laptop Dell Latitude 3520,IN,1,25/06/2024,pcs,ZV13,6XSSKS3,ZV13 trả về,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=378
STK-E755723812,Datalogic QW2100,IN,1,25/06/2024,pcs,ZV13,QW2100,ZV13 trả về,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=379
STK-285FB6B242,Epson TM-82III,IN,1,25/06/2024,pcs,ZV13,X7B9022758,ZV13 trả về,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=380
STK-4235D1C2EB,Epson TM-82III,OUT,1,24/06/2024,pcs,VE12,X7B9022774,VE12,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=381
STK-86FE84D0E2,Epson TM-82III,IN,1,24/06/2024,pcs,VE12,,VE12 trả về,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=382
STK-5958ECDC97,Laptop Dell Latitude 3520,OUT,1,14/06/2024,pcs,ZV15,B65JGL3,Apdater 65W Hard disk: SSD 256Gb Ram: 8Gb CPU: 2200 MHz 11th Gen Intel Core i5-1135G7 @ 2.40GHz,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=383
STK-E453661581,Datalogic QW2100,OUT,1,14/06/2024,pcs,ZV15,G21M82792,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=384
STK-D0E19CB92C,Epson TM II,OUT,1,14/06/2024,pcs,ZV15,TCEY004688,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=385
STK-8202CECD44,Modem 4G TP-Link M7350,OUT,1,14/06/2024,pcs,ZV15,2223200001560,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=386
STK-E319F5B3BB,mouse logitech,OUT,1,14/06/2024,pcs,ZV15,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=387
STK-313EDF8E16,Sim Mobi,OUT,1,14/06/2024,pcs,ZV15,8401230450061649,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=388
STK-439CA33635,Aruba APIN0303,OUT,1,28/06/2024,pcs,ZV15,CNNZK9T3C8,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=389
STK-89734E1CBD,Unifi Poe injector,OUT,1,28/06/2024,pcs,ZV15,GP-V480-032G,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=390
STK-6624089F6E,Laptop Dell Latitude 5430,OUT,1,24/06/2024,pcs,,61N8RQ3,"Intel Core i5 1235U 3.20ghz, SSD: 500gb RAM : 16gb",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=391
STK-5005A1317D,Laptop DellLatitude 3520,OUT,1,2024-11-06 00:00:00,pcs,,BXSSKS3,3000 MHz 11th Gen Intel Core i3-1115G4,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=392
STK-0837B30F98,Laptop DellLatitude 3520,OUT,1,2024-11-06 00:00:00,pcs,,BR9VKG3,3000 MHz 11th Gen Intel Core i3-1115G4,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=393
STK-87307D609C,Dell Latitude 3520,OUT,1,2024-10-07 00:00:00,pcs,,6R4JGL3,"Ram 8GB, SSD256Gb, 1400 MHz 11th Gen Intel Core i5-1135G7",,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=394
STK-3BFFF248ED,TP-Link MR6400,IN,1,2024-10-07 00:00:00,pcs,,223C9L2011651,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=395
STK-4BCAAE7E6C,Canon lbp 2900,IN,1,19/07/2024,pcs,,NMYA467026,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=396
STK-F47D49B63F,Datalogic QW2100,OUT,1,19/07/2024,pcs,,G2E85959,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=397
STK-05E871833D,TP-Link MR6400,OUT,1,19/07/2024,pcs,,223C9L2011651,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=398
STK-A27F3428C9,Epson TM-82III,OUT,1,19/07/2024,pcs,,X7BA002787,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=399
STK-48B3CC2732,SIm Viettel 4g,OUT,1,19/07/2024,pcs,,8984048000927542644,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=400
STK-3329D8302A,HP Probook G9,OUT,1,19/07/2024,pcs,,5CD2409YYT,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=401
STK-57F69E0A14,TP-Link MR6400,IN,1,19/07/2024,pcs,,,Sóng Nam giao,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=402
STK-841A9CB907,HP Laser 107A,IN,1,22/07/2024,pcs,,CNB3R38327,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=403
STK-9376A07AC2,Epson TM-82III,OUT,1,22/07/2024,pcs,,TCEY004688,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=404
STK-EBDD6F199B,Dell Latitude 3520,OUT,1,22/07/2024,pcs,,B65JGL3,Adapter 22VN00000040,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=405
STK-20DD244447,Datalogic QW2100,OUT,1,22/07/2024,pcs,,G21E85723,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=406
STK-59C2A7CF08,Modem 4G TP-Link M7350,OUT,1,22/07/2024,pcs,,2223200001560,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=407
STK-2DAE0633DA,Sim Mobi 4g,OUT,1,22/07/2024,pcs,,84012304150061649,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=408
STK-7ADA105D7E,Dell mouse MOFLUOA,OUT,1,22/07/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=409
STK-9142631BF4,Dell mouse MOFLUOA,IN,1,22/07/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=410
STK-2542E999B3,Laptop Dell Latitude 5430,OUT,1,23/07/2024,pcs,,4TS3SQ3,Cấp cho Huynh My Danh,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=411
STK-461FE7C506,Laptop Dell Latitude 5430,IN,1,22/07/2024,pcs,,42X2SQ3,Thu hồi do màn hình 0 hiển thị,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=412
STK-2134ED0A04,Ổ SSD 500 Gb,IN,2,25/07/2024,pcs,,,Sóng nam giao,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=413
STK-90CEBD9741,Ổ SSD 500 Gb,OUT,2,25/07/2024,pcs,,,Sóng nam giao,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=414
STK-B150731838,Logitech-Wireless mouse,IN,1,25/07/2024,pcs,,,Sóng nam giao,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=415
STK-D5E6BC06BA,Logitech-Wireless mouse,OUT,1,25/07/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=416
STK-5F8530C4FB,Dell Latitude 5430,IN,1,26/07/2024,pcs,,BJ972T3,A An Resigned,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=417
STK-AFF88AF22F,Mouse,IN,1,26/07/2024,pcs,,,,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=418
STK-A2D2505486,Laptop HP Pavilion 15-eg0xxx,IN,1,2024-01-08 00:00:00,pcs,Trang Khổng,5CD250F9ZW,Hư màn hình,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=419
STK-DB9CB0FFB7,Laptop Dell Latitude 5420,OUT,1,2024-01-08 00:00:00,pcs,Trang Khổng,5CD108K0PN,Cấp cho chị trang khổng,,Asset management/Transititons/IT tool.xlsx#Infra Device (transactions)!row=420
