source_type,source_key,relation,target_type,target_key,source_ref
asset,OBS:50FBAD216B,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=9
asset,SN:8CC2231CV8,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=10
asset,SN:X7B9025644,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=13
asset,OBS:3B16CD1A5C,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=14
asset,SN:3CQ232065Y,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=15
asset,SN:D190928010128,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=16
asset,SN:PSZ27111BB9,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=17
asset,OBS:AF79CEBCC2,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=18
asset,SN:24248523020405,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=19
asset,SN:9C05D67987D6,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=20
asset,SN:FGT40FTK2309D2HW,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=21
asset,SN:2534123052300531,OBSERVED_AT,location,VA12,Audit 2026 device/Data store/Audit/VA12.xlsx#VA12!row=22
asset,SN:3CQ633116Z,OBSERVED_AT,location,VA13,Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=2
asset,SN:X7BA011302,OBSERVED_AT,location,VA13,Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=3
asset,SN:NMYA783802,OBSERVED_AT,location,VA13,Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=4
asset,SN:211130000049,OBSERVED_AT,location,VA13,Audit 2026 device/Data store/Audit/VA13.xlsx#VA13!row=5
